"Activity, Exercise or Sport (1 hour)",Calories per kg,Equipment needed,Outdoor or indoor
"Cycling, mountain bike, bmx",1.750729719,bike,outdoor
"Cycling, <10 mph, leisure bicycling",0.82323563,bike,outdoor
"Cycling, >20 mph, racing",3.294973528,bike,outdoor
"Cycling, 10-11.9 mph, light",1.234853445,bike,outdoor
"Cycling, 12-13.9 mph, moderate",1.647825266,bike,outdoor
"Cycling, 14-15.9 mph, vigorous",2.059443081,bike,outdoor
"Cycling, 16-19 mph, very fast, racing",2.471060896,bike,outdoor
"Stationary cycling, very light",0.617426722,stationary_bike,indoor
"Stationary cycling, light",1.132625994,stationary_bike,indoor
"Stationary cycling, moderate",1.441339355,stationary_bike,indoor
"Stationary cycling, vigorous",2.162347534,stationary_bike,indoor
"Stationary cycling, very vigorous",2.574642352,stationary_bike,indoor
"Calisthenics, vigorous, pushups, situps…",1.647825266,none,indoor
"Calisthenics, light",0.721008179,none,indoor
"Weight lifting, body building, vigorous",1.234853445,weights,indoor
"Weight lifting, light workout",0.617426722,weights,indoor
Stair machine,1.85295717,stair machine,indoor
"Rowing machine, light",0.721008179,rowing_machine,indoor
"Rowing machine, moderate",1.441339355,rowing_machine,indoor
"Rowing machine, vigorous",1.750729719,rowing_machine,indoor
"Rowing machine, very vigorous",2.471060896,rowing_machine,indoor
Ski machine,1.441339355,ski_machine,indoor
"Aerobics, low impact",1.02972154,none,indoor
"Aerobics, high impact",1.441339355,none,indoor
"Aerobics, step aerobics",1.750729719,none,indoor
"Aerobics, general",1.338434901,none,indoor
Jazzercise,1.234853445,none,indoor
"Stretching, hatha yoga",0.82323563,none,indoor
Mild stretching,0.515199272,none,indoor
"Ballet, twist, jazz, tap",0.92749409,none,indoor
"Ballroom dancing, slow",0.617426722,none,indoor
"Ballroom dancing, fast",1.132625994,none,indoor
"Running, 5 mph (12 minute mile)",1.647825266,none,either
"Running, 5.2 mph (11.5 minute mile)",1.85295717,none,either
"Running, 6 mph (10 min mile)",2.059443081,none,either
"Running, 6.7 mph (9 min mile)",2.265251988,none,either
"Running, 7 mph (8.5 min mile)",2.368156442,none,either
"Running, 7.5mph (8 min mile)",2.574642352,none,either
"Running, 8 mph (7.5 min mile)",2.779774257,none,either
"Running, 8.6 mph (7 min mile)",2.88267871,none,either
"Running, 9 mph (6.5 min mile)",3.089164621,none,either
"Running, 10 mph (6 min mile)",3.294973528,none,either
"Running, 10.9 mph (5.5 min mile)",3.706591343,none,either
"Running, cross country",1.85295717,none,either
"Running, general",1.647825266,none,either
"Running, stairs, up",3.089164621,none,either
Badminton,0.92749409,badminton,either
"Basketball game, competitive",1.647825266,basketball,either
"Playing basketball, non game",1.234853445,basketball,either
"Basketball, officiating",1.441339355,basketball,either
"Basketball, shooting baskets",0.92749409,basketball,either
"Boxing, in ring",2.471060896,boxing,indoor
"Boxing, punching bag",1.234853445,boxing,indoor
"Boxing, sparring",1.85295717,boxing,indoor
"Football, competitive",1.85295717,football,outdoor
"Football, touch, flag, general",1.647825266,football,outdoor
"Football or baseball, playing catch",0.515199272,football,outdoor
"Frisbee playing, general",0.617426722,frisbee,outdoor
"Frisbee, ultimate frisbee",1.647825266,frisbee,outdoor
"Golf, general",0.92749409,golf,outdoor
"Golf, walking and carrying clubs",0.92749409,golf,outdoor
"Golf, driving range",0.617426722,golf,outdoor
"Golf, miniature golf",0.617426722,golf,outdoor
"Golf, walking and pulling clubs",0.885519904,golf,outdoor
"Golf, using power cart",0.721008179,golf,outdoor
Gymnastics,0.82323563,gym,indoor
"Riding a horse, general",0.82323563,horse,outdoor
"Horesback riding, saddling horse",0.721008179,horse,outdoor
"Horseback riding, grooming horse",0.721008179,horse,outdoor
"Horseback riding, trotting",1.338434901,horse,outdoor
"Horseback riding, walking",0.515199272,horse,outdoor
"Horse racing, galloping",1.647825266,horse,outdoor
"Horse grooming, moderate",1.234853445,horse,outdoor
Horseshoe pitching,0.617426722,horse,outdoor
"Martial arts, judo, karate, jujitsu",2.059443081,none,indoor
"Martial arts, kick boxing",2.059443081,none,indoor
"Martial arts, tae kwan do",2.059443081,none,indoor
Krav maga training,2.059443081,none,indoor
"Racquetball, competitive",2.059443081,racquetball,indoor
Playing racquetball,1.441339355,racquetball,indoor
"Rock climbing, ascending rock",2.265251988,climbing,outdoor
"Rock climbing, rappelling",1.647825266,climbing,outdoor
"Jumping rope, fast",2.471060896,jump_rope,indoor
"Jumping rope, moderate",2.059443081,jump_rope,indoor
"Jumping rope, slow",1.647825266,jump_rope,indoor
Rugby,2.059443081,rugby,outdoor
Skateboarding,1.02972154,skateboard,outdoor
Roller skating,1.441339355,rollerskates,outdoor
"Roller blading, in-line skating",2.471060896,rollerskates,outdoor
"Soccer, competitive",2.059443081,soccer,outdoor
Playing soccer,1.441339355,soccer,outdoor
Softball or baseball,1.02972154,softball,outdoor
"Softball, officiating",0.82323563,softball,outdoor
"Softball, pitching",1.234853445,softball,outdoor
Squash,2.471060896,squash,indoor
"Table tennis, ping pong",0.82323563,ping_pong,indoor
Tai chi,0.82323563,none,either
Playing tennis,1.441339355,tennis,outdoor
"Tennis, doubles",1.234853445,tennis,outdoor
"Tennis, singles",1.647825266,tennis,outdoor
Trampoline,0.721008179,trampoline,outdoor
"Volleyball, competitive",1.647825266,volleyball,indoor
Playing volleyball,0.617426722,volleyball,indoor
Wrestling,1.234853445,gym,indoor
"Backpacking, Hiking with pack",1.441339355,none,outdoor
"Carrying infant, level ground",0.721008179,child,either
"Carrying infant, upstairs",1.02972154,child,either
"Carrying 16 to 24 lbs, upstairs",1.234853445,child,either
"Carrying 25 to 49 lbs, upstairs",1.647825266,child,either
"Standing, playing with children, light",0.576806543,child,either
"Walk/run, playing with children, moderate",0.82323563,child,either
"Walk/run, playing with children, vigorous",1.02972154,child,either
Carrying small children,0.617426722,child,either
"Loading, unloading car",0.617426722,child,either
"Climbing hills, carrying up to 9 lbs",1.441339355,child,either
"Climbing hills, carrying 10 to 20 lb",1.544920812,child,either
"Climbing hills, carrying 21 to 42 lb",1.647825266,child,either
"Climbing hills, carrying over 42 lb",1.85295717,child,either
Walking downstairs,0.617426722,none,indoor
"Hiking, cross country",1.234853445,none,outdoor
Bird watching,0.515199272,none,outdoor
"Children's games, hopscotch, dodgeball",1.02972154,none,either
Pushing stroller or walking with children,0.515199272,child,either
Race walking,1.338434901,none,outdoor
"Rock climbing, mountain climbing",1.647825266,climbing,either
Walking using crutches,1.02972154,none,either
Walking the dog,0.617426722,none,either
"Walking, under 2.0 mph, very slow",0.411617815,none,either
"Walking 2.0 mph, slow",0.515199272,none,either
Walking 2.5 mph,0.617426722,none,either
"Walking 3.0 mph, moderate",0.679710997,none,either
"Walking 3.5 mph, brisk pace",0.782615451,none,either
"Walking 3.5 mph, uphill",1.234853445,none,either
"Walking 4.0 mph, very brisk",1.02972154,none,either
Walking 4.5 mph,1.297137719,none,either
Walking 5.0 mph,1.647825266,none,either
"Swimming laps, freestyle, fast",2.059443081,pool,indoor
"Swimming laps, freestyle, slow",1.441339355,pool,indoor
Swimming backstroke,1.441339355,pool,indoor
Swimming breaststroke,2.059443081,pool,indoor
Swimming butterfly,2.265251988,pool,indoor
"Swimming leisurely, not laps",1.234853445,pool,indoor
Swimming sidestroke,1.647825266,pool,indoor
Swimming synchronized,1.647825266,pool,indoor
"Swimming, treading water, fast, vigorous",2.059443081,pool,indoor
"Swimming, treading water, moderate",0.82323563,pool,indoor
"Water aerobics, water calisthenics",0.82323563,pool,indoor
"Ice skating, < 9 mph",1.132625994,ice_rink,either
"Ice skating, average speed",1.441339355,ice_rink,either
"Ice skating, rapidly",1.85295717,ice_rink,either
"Speed skating, ice, competitive",3.089164621,ice_rink,either
"Cross country snow skiing, slow",1.441339355,snow,outdoor
"Cross country skiing, moderate",1.647825266,snow,outdoor
"Cross country skiing, vigorous",1.85295717,snow,outdoor
"Cross country skiing, racing",2.88267871,snow,outdoor
"Cross country skiing, uphill",3.397877982,snow,outdoor
"Snow skiing, downhill skiing, light",1.02972154,snow,outdoor
"Downhill snow skiing, moderate",1.234853445,snow,outdoor
"Downhill snow skiing, racing",1.647825266,snow,outdoor
"Sledding, tobagganing, luge",1.441339355,snow,outdoor
Snow shoeing,1.647825266,snow,outdoor
Snowmobiling,0.721008179,snow,outdoor
General housework,0.721008179,none,indoor
Cleaning gutters,1.02972154,none,outdoor
Painting,0.92749409,none,indoor
"Sit, playing with animals",0.515199272,pet,either
"Walk / run, playing with animals",0.82323563,pet,either
Bathing dog,0.721008179,pet,indoor
Shoveling snow by hand,1.234853445,snow,outdoor
Raking lawn,0.885519904,yard,outdoor
"Gardening, general",0.82323563,yard,outdoor
"Bagging grass, leaves",0.82323563,yard,outdoor
Watering lawn or garden,0.310067367,yard,outdoor
"Weeding, cultivating garden",0.92749409,yard,outdoor
General cleaning,0.721008179,none,indoor
"Cleaning, dusting",0.515199272,none,indoor
Taking out trash,0.617426722,none,indoor
