Food,Measure,Calories,Protein,Fat,Fiber,Carbs
Cows' milk,1 qt.,660,32,40,0,48
Milk skim,1 qt.,360,36,trace amounts,0,52
Buttermilk,1 cup,127,9,5,0,13
"Evaporated, undiluted",1 cup,345,16,20,0,24
Fortified milk,6 cups,"1,373",89,42,1.4,119
Powdered milk,1 cup,515,27,28,0,39
"skim, instant",1 1/3 cups,290,30,trace amounts,0,42
"skim, non-instant",2/3 cup,290,30,trace amounts,1,42
Goats' milk,1 cup,165,8,10,0,11
(1/2 cup ice cream),2 cups,690,24,24,0,70
Cocoa,1 cup,235,8,11,0,26
skim. milk,1 cup,128,18,4,1,13
(cornstarch),1 cup,275,9,10,0,40
Custard,1 cup,285,13,14,0,28
Ice cream,1 cup,300,6,18,0,29
Ice milk,1 cup,275,9,10,0,32
Cream or half-and-half,1/2 cup,170,4,15,0,5
or whipping,1/2 cup,430,2,44,1,3
Cheese,1 cup,240,30,11,0,6
uncreamed,1 cup,195,38,trace amounts,0,6
Cheddar,1-in. cube,70,4,6,0,trace amounts
"Cheddar, grated cup",1/2 cup,226,14,19,0,1
Cream cheese,1 oz.,105,2,11,0,1
Processed cheese,1 oz.,105,7,9,0,trace amounts
Roquefort type,1 oz.,105,6,9,0,trace amounts
Swiss,1 oz.,105,7,8,0,trace amounts
Eggs raw,2,150,12,12,0,trace amounts
Eggs Scrambled or fried,2,220,13,16,0,1
Yolks,2,120,6,10,0,trace amounts
Butter,1T.,100,trace amounts,11,0,trace amounts
Butter,1/2 cup,113,114,115,117,118
Butter,1/4Â lb.,113,114,115,117,118
Hydrogenated cooking fat,1/2 cup,665,0,100,0,0
Lard,1/2 cup,992,0,110,0,0
Margarine,1/2 cup,806,trace amounts,91,0,trace amounts
"Margarine, 2 pat or",1 T.,100,trace amounts,11,0,trace amounts
Mayonnaise,1 T.,110,trace amounts,12,0,trace amounts
Corn oil,1 T.,125,0,14,0,0
Olive oil,1T.,125,0,14,0,0
Safflower seed oil,1 T.,125,0,14,0,0
French dressing,1 T.,60,trace amounts,6,0,2
Thousand Island sauce,1 T.,75,trace amounts,8,0,1
Salt pork,2 oz.,470,3,55,0,0
Bacon,2 slices,95,4,8,0,1
Beef,3 oz.,245,23,16,0,0
Hamburger,3 oz.,245,21,17,0,0
Ground lean,3 oz.,185,24,10,0,0
Roast beef,3 oz.,390,16,36,0,0
Steak,3 oz.,330,20,27,0,0
"Steak, lean, as round",3 oz.,220,24,12,0,0
Corned beef,3 oz.,185,22,10,0,0
Corned beef hash canned,3 oz.,120,12,8,trace amounts,6
Corned beef hash Dried,2 oz.,115,19,4,0,0
Pot-pie,1 pie,480,18,28,trace amounts,32
Corned beef hash Stew,1 cup,185,15,10,trace amounts,15
chicken,3 oz.,185,23,9,0,0
"Fried, breast or leg and thigh chicken",3 oz.,245,25,15,0,0
Roasted chicken,3 1/2 oz.,290,25,20,0,0
"Chicken livers, fried",3 med.,140,22,14,0,2.3
"Duck, domestic",3 1/2 oz.,370,16,28,0,0
"Lamb, chop, broiled",4 oz.,480,24,35,0,0
Leg roasted,3 oz.,314,20,14,0,0
"Shoulder, braised",3 oz.,285,18,23,0,0
"Pork, chop, 1 thick",3 1/2 oz.,260,16,21,0,0
Ham pan-broiled,3 oz.,290,16,22,0,0
"Ham, as",2 oz.,170,13,13,0,0
"Ham, canned, spiced",2 oz.,165,8,14,0,1
Pork roast,3 oz.,310,21,24,0,0
Pork sausage,3 1/2 oz.,475,18,44,0,0
Turkey,3 1/2 oz.,265,27,15,0,0
Veal,3 oz.,185,23,9,0,0
Roast,3 oz.,305,13,14,0,0
Clams,3 oz.,87,12,1,0,2
Cod,3 1/2 oz.,170,28,5,0,0
Crab meat,3 oz.,90,14,2,0,1
Fish sticks fried,5,200,19,10,0,8
Flounder,3 1/2 oz.,200,30,8,0,0
Haddock,3 oz.,135,16,5,0,6
Halibut,3 1/2 oz.,182,26,8,0,0
Herring,1 small,211,22,13,0,0
Lobster,aver.,92,18,1,0,trace amounts
Mackerel,3 oz.,155,18,9,a,0
Oysters,6-8 med.,231,232,233,235,236
Oyster stew,1 cup,125,19,6,0,0
Salmon,3 oz.,120,17,5,0,0
Sardines,3 oz.,180,22,9,0,0
Scallops,3 1/2 oz.,104,18,8,0,10
